root         504  0.0  0.0      0     0 ?        S    12:19   0:01 [irq/193-iwlwifi:queue_2]
root         505  0.0  0.0      0     0 ?        S    12:19   0:00 [irq/194-iwlwifi:queue_3]
root         506  0.0  0.0      0     0 ?        S    12:19   0:00 [irq/195-iwlwifi:queue_4]
root         507  0.0  0.0      0     0 ?        S    12:19   0:01 [irq/196-iwlwifi:queue_5]
root         508  0.0  0.0      0     0 ?        S    12:19   0:01 [irq/197-iwlwifi:queue_6]
root         509  0.0  0.0      0     0 ?        S    12:19   0:01 [irq/198-iwlwifi:queue_7]
root         510  0.0  0.0      0     0 ?        S    12:19   0:01 [irq/199-iwlwifi:queue_8]
root         511  0.0  0.0      0     0 ?        S    12:19   0:00 [irq/200-iwlwifi:exception]
root         513  0.0  0.0      0     0 ?        S    12:19   0:01 [jbd2/nvme0n1p4-8]
root         514  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-ext4-rsv-conversion]
root         516  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-kdmflush/252:0]
root         517  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-kcryptd_io-252:0-1]
root         518  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-kcryptd-252:0-1]
root         521  0.0  0.0      0     0 ?        S    12:19   0:00 [dmcrypt_write/252:0]
root         545  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_hk_wq]
root         546  0.0  0.0      0     0 ?        S    12:19   0:00 [t7xx_fsm]
root         547  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_dpmaif_tx0_worker]
root         548  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_dpmaif_tx1_worker]
root         549  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_dpmaif_tx2_worker]
root         550  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_dpmaif_tx3_worker]
root         551  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_dpmaif_tx4_worker]
root         552  0.0  0.0      0     0 ?        S    12:19   0:00 [dpmaif_tx_hw_push]
root         553  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-dpmaif_bat_release_work_queue]
root         554  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_hif0_tx0_worker]
root         555  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_hif0_tx1_worker]
root         556  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_hif0_tx2_worker]
root         557  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_hif0_tx3_worker]
root         558  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_hif0_tx4_worker]
root         559  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_hif0_tx5_worker]
root         560  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_hif0_tx6_worker]
root         561  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_hif0_tx7_worker]
root         562  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_hif0_rx0_worker]
root         563  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_hif0_rx1_worker]
root         564  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_hif0_rx2_worker]
root         565  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_hif0_rx3_worker]
root         566  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_hif0_rx4_worker]
root         567  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_hif0_rx5_worker]
root         568  0.0  0.0      0     0 ?        I<   12:19   0:00 [kworker/R-md_hif0_rx6_worker]
